state,fips_code_state,speed
al,01,25
ak,02,25
az,04,25
ar,05,30
ca,06,25
co,08,30
ct,09,25
de,10,25
dc,11,20
fl,12,30
ga,13,30
hi,15,25
id,16,35
il,17,30
in,18,30
ia,19,25
ks,20,30
ky,21,35
la,22,25
me,23,25
md,24,30
ma,25,30
mi,26,25
mn,27,30
ms,28,25
mo,29,25
mt,30,25
ne,31,25
nv,32,25
nh,33,30
nj,34,25
nm,35,30
ny,36,30
nc,37,35
nd,38,25
oh,39,25
ok,40,25
or,41,25
pa,42,25
pr,72,25
ri,44,25
sc,45,30
sd,46,25
tn,47,25
tx,48,30
ut,49,25
vt,50,25
va,51,25
wa,53,25
wv,54,25
wi,55,25
wy,56,30
